text,user_location,target
"As #COVID19 rages on, here are great tips related to sexual health — https://t.co/wip9iuah97 @NCSH_","Georgia, USA",1
"US officials: Russia behind spread of #Virus disinformation:
https://t.co/UvqqlEs5MF
#CoronavirusUSA #COVID19… https://t.co/84e89OnkuR",St. Louis MO USA,2
Gohmert showed up IN PERSON to tell his staff he tested positive for #COVID19 - way to go GOP!🤪😜😷 https://t.co/k5zMT2dewh,"Kansas, USA",1
@DrDenaGrayson @replouiegohmert @GOP Louie Gohmert has #COVID19 and may have passed it along to Bill Barr? https://t.co/b7kOd4vHxw,"Kentucky, USA",2
"Everyone do your part and wear a mask!
A good friend’s mother is lying in a hospital bed today dying alone. She has… https://t.co/t3PvnVZNQF","Illinois, USA",0
#COVID19 is having a devastating impact on the economic well-being of #Latino families https://t.co/fwh5LeKTgZ via… https://t.co/YWjyp8zBci,"Bend, Oregon, USA",0
“I believe we are making progress in this arena. We must remain vigilant if we’re going to get our kids back in sch… https://t.co/qYsvpbE6a9,"Alabama, USA",1
"The @CDCgov has the resources to assist you in educating your staff and understanding COVID19 https://t.co/eFyWhbK1uR
#covid19 #workersafety",Falls Church VA 22042 USA,2
"Crush of Boat Buyers Seek Recreation, Safety During #COVID19
Growing number of people turn to #boating amid the pan… https://t.co/nmbj1qVGuN",United States,1
"During social distancing and #COVID19, you may be looking for new ways to entertain and play with your little one.… https://t.co/77Ey9uLZ7l","Colorado, USA",1
"@ForeignAffairs Those who took precautions went down 90% (NY, NJ) 
Those who trivialized went up 900% (Fl, Tx, CA)… https://t.co/WkxPl0RdCF","..................Texas, USA..",1
God is with us! #COVID19 #Believe #TrustGod,"Texas, USA",1
"Is @Canada taking US refugees yet? 

...asking for a friend.

#COVID19
#BlackLivesMatter 
#TRE45ON… https://t.co/4zhb8Doax5","Virginia, USA",1
The horrific international trade that is pushing #Pangolins to the brink of extinction &amp; spreading deadly diseases… https://t.co/FKUg6v3xNS,"Colorado, USA",0
Doesn't take a doctor to see the effect this #COVID19 isolation is having on my 12 year old. I don't need a… https://t.co/HB0LJyPEdC,"Viera Florida, USA",0
How is #SynBio research contributing to the fight against #covid19? @RSriv01 from @UConn and Andy Ellington from… https://t.co/dedNvKDV0v,USA,0
Translation: #stayhome #COVID19 updates #secondwave #WednesdayWisdom 😷😷 #soldbypatricia https://t.co/0f8iZsa9dU,United States,2
"In Da kitchen  coikin' at lunch , have a bite. https://t.co/9FzerUCnwI  #WednesdayMotivation  #amediting… https://t.co/VUmv1bWpin","Georgia, USA",2
@realDonaldTrump @AirForceOne_HQ @FoxNews These are shoes at the Capital of Nurses that have died of #Covid19 becau… https://t.co/fvJ4F172p7,"Arizona, USA",0
"All this testing for ""Covid-19."" Would you be disappointed, angry, or something else, if you found out the testing… https://t.co/aacqTNZEFF","Arkansas, USA",0
"Minneapolis Fire suspect  ""Umbrella Man"" is id'ed by JDL as a White Supremacist! Police suspect he is white!👀👇🏼… https://t.co/rHSBsoxxma","California, USA",0
"For years, I've been fighting for #downwinders to get the medical and financial compensation they deserve — and as… https://t.co/gnvIr19M9O","New Mexico, USA",0
"If you are a believer of this woman- please, seek a 2nd medical opinion before submitting to the practices of her!… https://t.co/oHzZY5ZLgu","South Carolina, USA",1
"""More than 30 states are requiring that anyone age 10 and older wear masks in public. In several states, such as Ma… https://t.co/8SbQVjU33P","Fairfax County, Virginia, USA",2
Trump is definitely hiring these doctors to be his new #COVID19 task force. #TrumpPressConference #TrumpVirus… https://t.co/10S2PjONzQ,"Pennsylvania, USA",1
"Samantha Hickey, a pediatric nurse leaves behind 2 grown sons and 2 small children ages 7 and 5.  She’s a hero. And… https://t.co/spkeDN9yT3","California, USA",1
"From the story:

Gohmert attended Tuesday's hearing w/Attorney General William Barr in person. ""...footage from bef… https://t.co/bmCqOdq6Ew","Illinois, USA",2
"Random, probably unpopular thought: I wonder if Xigris would have been helpful for #COVID19 #CriticalCare",America,1
"@Kodak #KodakPharmaceuticals 
#COVID19 
+ 360 direct jobs
+ 1,200 indirect jobs

Keep America's pharmaceuticals… https://t.co/IFzS5YWTBD",United States,2
"@benyc @LeaderHoyer That's assault.
Gohmert should face charges.
#COVID19","Florida, USA",0
@TuckerCarlson Imagine how the number of deaths attributed to covid would drop if Life Insurance companies were req… https://t.co/5kAQXisfsF,"AUSTIN, USA",0
"@InvestorsLive Not many people notice this. When they do later tonight, #COVID19 #mask #stocks will run","New York, USA",2
"Some #coronoavirus #covid19 updates - July, 2020 https://t.co/1EVLfDIVTV",USA,2
I am hoping to join @dhinchcliffe and the @CIOStraightTalk team tomorrow tackling #COVID19  impact on #Digital tran… https://t.co/jEsckWWCLs,"Colorado, USA",1
Raise your hand if you know someone who died due to #COVID19. I do. 🙋‍♂️,"Oregon, USA",0
"My mother, 75, who I have not seen since April has stage 4 cancer, is overweight, diabetic, and has COPD from over… https://t.co/whC2Kpnxps","California, USA",0
Learn how our Remote Patient Monitoring systems are improving lives during #COVID19. https://t.co/CINh43hnrU… https://t.co/4eLF0n72uL,"New York, USA",1
@GeorgiaEMA Failing to protect GA Residents from #COVID19 and enabling further spread ??? #profitbeforepeople ??  W… https://t.co/0WfxcgAj7a,"Georgia, USA",0
"There is a cure for covid-19 and it's not a figure of speech!
#COVID19

https://t.co/SCs5SxgBaV","Minnesota, USA",2
"@senatemajldr @realDonaldTrump 

New @fbi building and all other stuff in this #HEALSAct not related to #COVID19 re… https://t.co/WG5Ek5VSXI",United States,2
"*****PG&amp;E, Tesla Break Ground On Landmark Battery Energy Storage System***** Collaboration announced in Feb. 2020 b… https://t.co/14dIVG4SzJ","New York, USA",1
"Director #SSRajamouli and family test positive for #COVID19.

The director along with his family are currently unde… https://t.co/EaVQ8tQNj4","India, USA",1
"ATTN 🗣 Repost @txcraftbrewers 
・・・
The economic and public health crisis brought on by #COVID19 and the June 26th s… https://t.co/kOChBPzmVL","San Diego, America",0
"Know Your Rights People!👏💯
#COVID19 #maskdebate #KnowYourRights #FauciFraud  https://t.co/CuUX1TY5LP","Minnesota, USA",2
As #Hollywood runs for the hills during #COVID19 https://t.co/QZls3jkdJ0,United States,2
"If you had a severe case of #COVID19 &amp; your life was in danger, would you take #hydroxychloroquine? #Corona #coronavirusInSA #coronavirus",United States,0
"Students need #HeroesAct to engage in academically rigorous curriculum/learning, feel affirmed in their identities,… https://t.co/nxzqzdTfLg","California, USA",1
.@CMSGov released an #Medicare data update on #COVID19 outcomes. CMS paid $2.8B in #Medicare #FFS claims for COVID-… https://t.co/m27nc0TEae,United States,2
"With the #coronavirus pandemic causing economic havoc in countries around the globe, we leveraged our #COVID19 TMT… https://t.co/Q91LhYs39K",United States,0
"Not sure why anyone thinks they're immune to #COVID19, but especially those who should know better. 

Congresspeopl… https://t.co/RycxSc0xag","Illinois, USA",1
@MoneylineMark Such a huge opportunity is seen right here in this clip. They’re bringing the supply chain back to t… https://t.co/JWYmULppuE,United States Of America!,1
"150,000 #COVID19 US fatalities, not including untold numbers of ancillary and misdiagnosed deaths. In less than 6 m… https://t.co/Td3g0720hO","Massachusetts, USA",0
"I wonder when Trump will realize that majority of the deaths from #COVID19 are his base 🤔 
#TrumpVirus #coronavirus… https://t.co/ggmDBRnuS2","Michigan, USA",2
"Why Did They Censor America's Frontline Covid Doctors? #COVID19
Defiance of Science Live on the Liberty Report with… https://t.co/huCSdyVE5Y",United States,1
13 ways for walkers and runners to exercise in harmony during covid 19 social distancing. by @KristenSadler18… https://t.co/h14Hv6jN2K,"Arizona, USA",1
"For the longest time, I thought governmental censorship was a universally evil breach upon the freedom of speech. N… https://t.co/IT4vwM7ofF","Kentucky, United States",0
"Today's amended #SaferAtHome emergency order from the State Health Officer, effective July 31 at 5 p.m. and running… https://t.co/iN80zuWRg3","Alabama, USA",1
"@realDonaldTrump @AirForceOne_HQ @FoxNews No cheering crowds for you in #TexasCOVID. 
Hospitals are maxed out with… https://t.co/2mKy6x5jMF",USA 🇺🇸,1
@Forbes Blindly following lead of #POTUS45! #Naysayers keep getting diagnosed/sick; &amp; keeping #COVID19 circulating… https://t.co/U9d7PJUrdH,"Nevada, USA",2
I’m not going to ignore the fact that we have FREEDOM OF SPEECH in this country.. yet we are being told not to say… https://t.co/MTb8ELE802,United States,1
“Children show their strength as the DRC adapts to Covid-19 - Democratic Republic of the Congo” | ReliefWeb… https://t.co/aXsWOFNf1C,USA,1
"#BunkerBoy desperate to get reelected #Distraction #Corona #TrumpIsALoser #PortlandProtests #MartialLaw 
#COVID19… https://t.co/wRjOW4jqU0","Florida, USA",0
"POLITICO:

.@LouieGohmertTX1, who refused to wear a mask, tests #positive for #coronavirus.

More Red State Idiots… https://t.co/2HHe3g3MWj",United States,0
The results are out from @ReconRes's June 2020 survey on the Impact of Covid-19 and how survey respondents believe… https://t.co/z6m3avWPTB,"Coral Springs, Florida, USA",2
"1️⃣ #AllahDoesNotNeedQurbani
2️⃣ #COVID19
3️⃣ #Rafale
4️⃣ #RafaleInIndia
5️⃣ #BTSdiTokopediaWIB

Playing now hot or… https://t.co/D305qURHoZ",United States,1
#RoadTrip tip: Clean your vehicle regularly with disinfectant wipes if you’ve been touching potentially contaminate… https://t.co/IARbUiXbDS,Seattle USA,1
"At my building, an elderly guy from the 4th floor came into my elevator today. I tried to tell him that we can’t sh… https://t.co/8zZiB7xvTB","California, USA",2
"In today's shifting conditions, organizations can turn intelligence into action to navigate disruptions and drive c… https://t.co/79ytwGzzzj",United States,1
The AceCo Portawash series of hand-washing stations are extremely popular and available through our secure website:… https://t.co/KnltGiQSMv,"New Jersey, USA",1
Nicely Done! A short video perspective on biomedical research in the time of #COVID19 from an @theNCI alumnus &amp; CMO… https://t.co/FfE0sav1xD,"Portland, Oregon, USA",1
Join our live #webinar on August 6 to learn more about what's in store for the future of the #auto industry post… https://t.co/P6hK1ZsDUD,"North America, Europe, Asia",1
"@RepJerryNadler @electricboyo @replouiegohmert Moving forward, please remove anyone who refuses to wear a mask from… https://t.co/cAlJt4MDEa","Wisconsin, USA",1
"Tremors is back! Watch PERFECTION, NV https://t.co/hbn1kcNdu8 #horrorfanfilms #tremors #perfection #horror #fan… https://t.co/IX9TlgQGUg","Orlando, FL, United States",1
Just a comment if you were laid off due to Covid-19: You were NOT fired! Laid off is very different. Read about its… https://t.co/P6AfjOEeqJ,United States,1
"Due to COVID-19 chronic and critical illness patients have many new risks to manage, here are some ways to navigate… https://t.co/QHeC53ufIy","California, USA",0
"No mask #LouieGohmert tests positive for #COVID19 
Not a smart ass anymore.",United States Minor Outlying I,1
@senatemajldr #COVID19 bill in a nutshell. Immunity from lawsuits for Corporations while NO workers protections. A… https://t.co/qGlHzfmBpM,"Nevada, USA",0
"We need a package that invests in behavioral health &amp; substance use treatment as #COVID19 has increased stress, anx… https://t.co/ggiuHDeVKQ","California, USA",0
"On the bright side, we have a pretty good recovery. #COVID19 #wisconsin https://t.co/zvAdPKWsJn","Wisconsin, USA",1
"📢 PA #COVID19 Update (as of 7/29/20 at 12:00 AM)

@PAHealthDept @PEMAHQ https://t.co/K4AQY2FJjt","Pennsylvania, USA",2
"Watch ""Scientists Wake Up Ancient Viruses Unknown to Medicine"" on YouTube https://t.co/Hl7Hy8B8jK 🤔🤔 wondering wher… https://t.co/dCu5tOaMNQ",🇺🇸🙏🇺🇸 #GodBlessAmerica,2
More than 100 #COVID19 patients in Imperial County have been transported to hospitals around CA since March. https://t.co/WqHNJPWhYt,United States,2
"Diane Foley, mom of James Foley...r u sure you want those 2 a-holes/isis #terrorists to be tried in our courts in U… https://t.co/b2MfGtkGv8",United States,1
“The post-COVID landscape has made 2020 a watershed year for the sustainable protein market: the sector has attract… https://t.co/oaloN9if5S,USA,2
Covid-19 Prompted Purdue to Shut Its M.B.A. Program. More Closures Are Expected  #Certificates will be better for m… https://t.co/CSJKJEYOuN,"Arizona, USA",1
@replouiegohmert has #COVID19  Thousand of lives could have been saved… And still could be saved if @gop would simp… https://t.co/DWAfTaZRe5,"Virginia, USA",1
"Important fact to remember, your nutrition directly affects the strenght of your immune system. Your immune system… https://t.co/Feed6lxzNZ","Virginia, USA",1
"""About half of the COVID-19 infected patients were asymptomatic cases. Children and females were moreapparent to be… https://t.co/dbDLIbjzT3","Bellwether State, USA",0
I've been teaching since 1990 and I've had many emotions...But this is the first year that I'm scared. Pit in my st… https://t.co/fB07WLJlvX,"Florida, USA",0
"Important fact to remember, your nutrition directly affects the strenght of your immune system. Your immune system… https://t.co/44hPIloalM","Virginia, USA",1
"#AbdominalPain occurs between the chest and pelvic region of a person and can be #stiffy, #painful, #periodic, or… https://t.co/O4Kc2JzUzL","Southfield  Michigan, USA",2
"@OregonGovBrown Will you be getting the #disappeared  back? #PDXprotest 

#TrumpIsUnwell #TrumpKillsUs… https://t.co/cK5qggKAiX","Washington, USA",2
"I will B so happy when a vaccine is available for #COVID19 my area is popular with vacationers
The #virus is on the… https://t.co/03KUZxD4oi","Virginia, USA",1
"Thoughts and Prayers, @replouiegohmert you dumbass.

Hopefully, none of your irresponsible behavior and selfishness… https://t.co/Iz8pFA0Yg6","Bay Area, CA, USA",1
@realDonaldTrump @AirForceOne_HQ @FoxNews Americans sure do pay for a lot of your appearances as well of neglect of… https://t.co/QnQCkhDb4z,United States,2
"New @UMich research on lockdowns, mask-wearing, and death rates: https://t.co/H5j9Nq4DpQ #COVID19 https://t.co/Bww3MUYEDO","Ann Arbor, MI USA",0
"Similarly: Imagine being forced to be vaccinated in order to be allowed to practice your profession.
#COVID19 https://t.co/CGGBT15p3k","Iowa, USA",0
Via Health Now - Experimental COVID-19 vaccine protects upper and lower airways in nonhuman primates | National Ins… https://t.co/fyWWpxuBHR,Marco Island FL USA,1
In case you didn't know this. The NIH  pulled together a single database of all papers and studies being done on th… https://t.co/elEVwfQN7U,"Bellwether State, USA",2
"“A vaccine that his lab helped develop went into a Phase III trial, the last stage of human clinical testing.” Mayb… https://t.co/TA9zoSitzh","Georgia, USA",2
Biden is confused! They dont want him to stop and talk! Wake up America! #Biden #COVID19 #SaveAmerica #VoteRed https://t.co/mgPREgW1rA,"Ohio, USA",0
"@davematt88 Sounds like fun!

#TrumpIsUnwell #TrumpKillsUs #TrumpThreatensAmerica #TrumpCrimeSyndicate #Biden… https://t.co/LvmradAWbH","Washington, USA",1
"Not a lot of people are aware, but Louisiana has the highest per-capita #COVID19 infection rate in the US. Not NY, not CA, not FL.",Heartland USA,2
"@kroger is doing a poor job keeping their cart wipes, wet.
And staff could care less.
#COVID19 @GaDPH #gapol","Georgia, USA",1
Oh the irony @replouiegohmert tested positive for #COVID19!  Some hoax huh Louie?!! Maybe should’ve wore a mask and… https://t.co/6yxTp9ZvH7,USA,1
Explore why #innovation can be critically important to help the #chemicals industry maintain growth and drive a com… https://t.co/rQ2IehxOla,United States,1
"Sweeden recommended that people maintain a safe distance between each other &amp; banned gatherings of 50 ppl+, asked e… https://t.co/1OlKDYtoEX",United States,1
"Telepsychiatry: Good for Consumers, Practitioners, and Mental Health

Regarding telemedicine, the American Psychiat… https://t.co/2SOGuw6jMh",USA,1
Go @simpsinusrhythm - great job #PedsICU #MedTwitter @childrensatl @EmoryUniversity #pediatriccardiology… https://t.co/tJgtMJIzWX,"Georgia, USA",1
Yep. That's why my county has the highest rate per capita. #COVID19 #socialdistancing #lockdown #isolation… https://t.co/FDnEfzzFRf,"California, USA",1
I wanted to create a poster that had a narrative and shared multiple spotlights on the topic of “Trump’s America.”… https://t.co/t4kqKnICUu,"New York, USA",1
"""150k+ Americans DEAD!"" #COVID19 #TrumpVirus #TrumpIsKillingUs","Oregon, USA",2
"Join @GovHolcomb, @StateHealthIN Comm’r Dr. Box, @ihcda Exec. Dir. Sipe, @WorkforceIND Comm’r Payne, and… https://t.co/d0v5JMl3as","Indiana, USA",1
Ask your member of Congress today to include #StopSurpriseBills in the next #COVID19 relief package. We cannot affo… https://t.co/D1EvAyDTTv,USA,1
"The priceless therapy of hiking! 🏕️🏞️ 

#hiking #hikingismytherapy #whatsyourtherapy #therapyshop #therapyclothing… https://t.co/vxUoQ2csnb",USA,2
"Why Would the FDA Block the Use of HBOT to Avoid Intubation in COVID-19 Pneumonia?
 
Read more:… https://t.co/yeQflRIHK0",United States,0
Read this article to learn more about how shoppers' desire to shop safely at home is challenging retailers to find… https://t.co/cYEFvgjhi6,"Massachusetts, USA",1
"Rep. #LouieGohmert, #Texas #Republican who rarely masks, tested + for #COVID19 ahead of a planned trip w/… https://t.co/Dvc4srnFCz","Boston, Massachusetts, USA",2
Reported new #COVID19 cases slowed in the #UnitedStates last week after exploding 216% in past 6 wks. In same perio… https://t.co/dbwgX0OZWM,"Seattle, WA, USA",2
"Do you have Hope?
Follow: @dogmerchsite
https://t.co/bS8X8PZOWv

#dogs #dogsofinstagram #puppies #puppiesforsale… https://t.co/F0OztHDtlR",United States,1
Goofy Gohmert has Covid-19...I guess that arc does gently bend towards justice. #COVID19 #Gohmert,"Walnut Creek, CA, USA",1
Zurich’s Julie Bolton advises #businesses to have a clear view of how they will use data collected by any #COVID19… https://t.co/iHm6VpI20I,North America,1
"Join us here tomorrow at 12pm EST for a new episode of CVS Health Live, hosted by @hellodrjoy for a conversation wi… https://t.co/SPjzjpmxdD",United States,1
"The MassBioHub provides a safe, clean, and fully #COVID19 compliant meeting space for hosting hybrid events and sha… https://t.co/yBc4C04eRG","Cambridge, MA USA",1
"In a recent survey, 67% of general counsels said their workload increased during #COVID19. Our latest article expla… https://t.co/U2hgxZvHKb",United States,1
Husband Of Doctor Who Died Of COVID Says He's Angry At People Who Refuse To Wear Masks https://t.co/4uX7LgO3dU… https://t.co/hMYSOBo8Y2,United States,0
Our new series take a closer look at the financial implications of #COVID19 on the financial services industry. Che… https://t.co/EnBoY0J1R5,United States,2
"South Jersey's #retail market in the first half of the year had a minor increase in #vacancy, however, the full imp… https://t.co/3OLdfdo442","New Jersey, USA",1
3⃣ COVID-19 highlighted the instability of the supply chain and the need for investment in back-up efforts. #covid19 https://t.co/WWuWh0lQGl,"New York, USA",2
GOP congressman @replouiegohmert is disgusted that constantly spewing Nazi and White Supremacist propaganda for the… https://t.co/1mtjig1pfb,"North Carolina, USA",0
@DownSouthScot Trump supporters storming the Michigan capital to protest the Governor’s #COVID19 prevention measures.,"Maine, USA",1
#covid19  has been great for Latin American billionaires. #covidmexico https://t.co/NvVGdVJiCQ,Latin America and Canada,1
Why is it you find yourself not trusting what anyone says about the novel #coronavirus called #SARSCoV2 resulting i… https://t.co/Hu3hkx1gAP,"Bellwether State, USA",1
Please properly dispose of masks and gloves. 😷 #COVID19 https://t.co/37gsIvO6hu,"Capital Region, New York, USA",1
@brianschatz Maybe they're just planning on attacking #COVID19 #hotspots ? They'd need heavy artillery to… https://t.co/FMwwPutwmS,"Washington, USA",0
@Marlins Trying to trace the COVID-19 virus is just as hard to trace as the @JeterTurn2 herpes tree?!?!… https://t.co/c5ejTjxnmk,"New Mexico, USA",0
"Watch this before it is censored. Wake up, America, to the truth of what is really happening. #Covid19

""Frontline… https://t.co/Ue5MgIGSik",United States,1
"The New England Journal of Medicine says no benefits to #HCQ based on science. Science, not conspiracies.… https://t.co/tDXpJpJsXf","Virginia, USA",1
Agreed. #COVID19  #MedicareForAll #Medicare4All https://t.co/Hti09Wm0VU,"San Francisco, CA USA",1
"At the age of 48, Santayana left his position at Harvard and returned to Europe permanently. Santayana is popularly… https://t.co/8PlBnNZknG",America,2
#WearADamnMask #COVID19 spreading like #wildfire in #USA #coronavirus https://t.co/3oSxzFQ3vw,United States,1
How did this man EVER get #elected? He’s as dumb as a post with the #CommonSense of a bag of hammers..... #Gohmert… https://t.co/84IuCdfdGy,California/Colorado/Hawaii USA,0
@drdavidsamadi @BooBooNyc The Media are using this Drug to protect themselves from #COVID19 Just ask CNN. Keeping i… https://t.co/ajy3qEyZVy,"South Carolina, USA",1
"Collaboration is becoming increasingly important in workplace culture, but #COVID19 can make collaboration more of… https://t.co/BtHxHjsIDy","Altadena, CA, USA",1
"COVID-19 Update: July 30

- Positive Cases: 102,871 (+2,049)
- Hospitalizations: 4,572 (+90)
- Fatalities: 1,033 (+… https://t.co/xi2gtTdo7v","Tennessee, USA",0
Either it’s all ok or none of it is. Pick one #Election2020 #COVID19 https://t.co/3mP8XReAhC,USA,1
"JUST COPIED.
Straight from the CDC website. #ReOpenOurSchools . 
#VoteInPerson 
STOP THE Dangerous #COVID19 LIES https://t.co/rt4HvNQzFO",America,0
@realDonaldTrump @FLOTUS Nice of you to tweet about Herman seeing that he came to your OKLAHOMA rally and caught… https://t.co/VUj7RYRKSf,United States,1
"@chipfranklin It's unfortunate, #COVID19 doesn't only attack ignoramuses. https://t.co/lcv4747AvP",USA,1
Thank you to our teams working abroad to help supply N95 masks to healthcare professionals on the frontlines and es… https://t.co/jL9rN0gte6,"New York, USA",1
"@marc_lotter @Mike_Pence @realDonaldTrump People keep asking what’s wrong with these people? 

Well they’re just… https://t.co/Z5mBib1YBH","Hawaii, USA",0
"@NYCCouncil @NYCSpeakerCoJo pass #Intro1116! Don’t exclude street vendors from #COVID19 relief! Black, Brown, and I… https://t.co/ETuSj90ft9","Brooklyn, USA",1
A month ago I posted that with more studies showing the ineffectiveness of HCQ we would hopefully not hear about it… https://t.co/3z9UadmM7m,"Colorado, USA",1
"@ellencarmichael I'm sorry for your loss. May Herman Cain rest in peace. Cain did not ""deserve"" to die: *none* of t… https://t.co/mdmaOPxvIo","Alameda, California USA",1
"""Gut specialists are finding that 20% to 40% of people with the disease experience diarrhea, nausea, or vomiting be… https://t.co/KPapY9rnvS","Hawaii, USA",2
"""What 'Back to School' Might Look Like in the Age of #Covid19""...  https://t.co/2CdMr2pvEK",United States,1
See how @Pfizer is moving with safety and speed to accelerate the development of a potential #COVID19 #vaccine… https://t.co/jH4ugXaDrs,"New Jersey, USA",1
@marklewismd Why in the world are dogs being trained to “sniff” out whether people have #COVID19?,"Minnesota, USA",2
"#WearAMask ....correctly! 
Please Share! 

#COVID19 https://t.co/0NUu4LHDfl","California, USA",1
"Happening now… @stsay, Director Policy, Cities &amp; Transportation @Uber talks ""Shared-Mobility &amp; Micromobility in… https://t.co/0VIOj0bM9E","Evanston, IL  USA",2
SOBERING &amp; TRAGIC  Over 1400 #COVID19 deaths reported in US yesterday—roughly one fatality a minute. This is what h… https://t.co/Ay2rLhSEPn,USA #Chicago born!,0
Some interesting ideas from funders incl @wellcometrust @MGHWIGH @alzassociation about supporting women scientists… https://t.co/WXHV6rLTVV,"Lausanne, Switzerland",1
@scdhec My word. It's like #COVID19 is an uncontrolled problem with real consequences. I wonder how we could convin… https://t.co/6aTwzmZJFq,United States,0
"Israel's Worldwide Fight Against COVID-19 - setting aside borders and politics, the Jewish State is helping others… https://t.co/iauu741jdT","Jerusalem, Israel",0
"So if we all started exercising and eating right, cancer and heart disease will all just magically go away? Wake up… https://t.co/qTpRQA75xc","Indiana, USA",0
"America has 5% of the world’s population and 25% of the #COVID19  cases 

@realDonaldTrump gives himself a 10 out o… https://t.co/yG9BtOeHz8",Wichita Kansas USA ,2
Making it a point moving forward not to engage with Twitter virologists but welcome comments from actual MDs with e… https://t.co/lU8zaw4TMH,"Pennsylvania, USA",1
A dog in Georgia tests positive for virus that causes #COVID19. The 6-year-old mixed breed dog developed sudden ons… https://t.co/NhZTaTpxq6,"Las Vegas, USA",1
@realDonaldTrump @realDonaldTrump does nothing without a motive.  I've said from the very beginning he is behind… https://t.co/qB97wsdMNO,Nowhere USA,2
"@BroJerryKennedy @BoSnerdley @NmSuBballFan Good Grief!
WHAT TF PART OF “#HermanCain DIED OF #COVID19” DO YOU NOT UN… https://t.co/7ha5fvA98v","Wisconsin, USA",0
"Dear USA,

In the countries where COVID19 is almost gone... they are STILL practicing of social distancing, no larg… https://t.co/T0atBtX8NV","California, USA",1
"Take COVID seriously! You never know who it might take, don't risk it! #StayAtHome #StaySafe #COVID19","Washington, USA",1
"What did he die from, Mr. ""President""?
Is there any way we can protect ourselves and our communities from catching… https://t.co/uYUJGDV26J",USAhttps://twitter.c,0
#COVID19 #TrumpThreatensAmerica #TrumpIsANationalDisgrace #November2020 THE VIRUS IS WINNING! 1 person per minute d… https://t.co/KeU0RhKSIq,"Kingdom of God, SouthCal, USA",1
@dougducey Nobody should be tested for #COVID19 if they don't have symptoms the best first line defence against thi… https://t.co/oDxNUWnHwr,"Arizona, USA",1
"@IngrahamAngle He was cancer-free for the last 15 years.
He died of #COVID19.
He was a Trump victim, in the end. https://t.co/xkpMfmuFS4",United States,0
@NBCNews Weeping for my #Latinx communities #COVID19,"Colorado, USA",0
https://t.co/K2iikQaP7G #trumpvirus #covid19 is picking up steam &amp; claiming more lives thanks to the incompetent GO… https://t.co/jPvWWaJjZh,United States,1
"It took one day since the last time I posted, but the tracker I use says we're over 4.6 million infected here in th… https://t.co/3jsGElWswo","New York, USA",0
@avow Antibodies weaken over time. #COVID19 https://t.co/JcdFUhITmb,"Balboa Peninsula, SoCal USA",0
@travton @rgoodlaw @mkraju 🤔🤔How many times hv we said/thought/hoped these words “.... which will never happen.” ab… https://t.co/NhGb9V3XTK,"New York, USA",2
"Dear #MAGA @foxnation @GOP @realDonaldTrump @Conservatives @LCVoters @limbaugh @SenateGOP @HouseGOP,
150K #COVID19… https://t.co/ONK5C3xsdd","Florida, USA",1
happy national cheesecake day #chefdave #COVID19 #coronavirus #summer #SummerBreeze #backtoschool #chessecake… https://t.co/tdXuvVKvde,"Michigan, USA",1
"As stores re-open amidst the #COVID19 pandemic, #telecoms providers and other #retailers are rushing to evolve the… https://t.co/ixbNqngd9f","New Jersey, USA",2
@IngrahamAngle And what took his life?  COVID. A hoax took 9999s life. Not wearing a mask TOOK HIS LIFE. You pushed… https://t.co/OydwrzTFw1,United States,0
https://t.co/mi0F9aISRV nooooooo we are in this situation because of you...so trump fuck you we will vote you out… https://t.co/zeli1tLw4n,"Illinois, USA",0
"Free 25-Page  Job Search Guidebook - Brand New - Tips, Tricks, Tools &amp; Templates to Help Jump Start Your Job Searc… https://t.co/oPLPjoajud","South Carolina, USA",1
Curious how many #COVID19 patients has #Fauci treated? https://t.co/VOVEe3vQJx,"Florida, USA",1
Kim Jong-un could be using #COVID19 crisis 'to develop bio doomsday weapon' https://t.co/hlFjVhQaRO,United States,0
Clean your #phone!  Download and share this image. Get full #COVID19 #disinfectant here: https://t.co/iGkhurMF5m https://t.co/VJkARNbaNV,"New York City, NY, USA",1
"Man those press conferences by @GovTimWalz last forever. Every one of them, whether related to #COVID19 or schools… https://t.co/C5OmhWxPki","Minnesota, USA",2
"""Be in command of the things you can influence, and let go of the things you can’t control. It’s a game changer."" -… https://t.co/SdenVJy6y6",North America,2
😷This face mask comes with its' own pouch. WINNER! #CustomFaceMask #FaceMasks #BeSafe #COVID19 https://t.co/HP5nITeUqz,USA,1
Dr. Randolph comments on a study of 4 of 27 children treated at a London hospital for MIS-C who had significant neu… https://t.co/meBKCEavrb,North America,1
"The @NJLaborDept said it took in 28,063 new #unemployment claims for the week ending on July 25, a 8.8% increase fr… https://t.co/6oVbDwXSAE","New Jersey, USA",1
"THE DEMOCRATS AGAINST TRUMP ARE COMPLICIT WITH MURDER OF CHILDREN, THE UNBORN. AND THE AMERICAN POPULATION… https://t.co/QCpUVXxsr6",United States,0
@ananavarro Hey #RINO! You know what I see? I see a lot of people who can gather at John Lewis's funeral but the re… https://t.co/46FMg6eqZy,"Arizona, USA",0
#COVID19 #coronavirus is making everyone into #COVIDIOTS https://t.co/JppMKNbXLT,United States,2
@GovMikeDeWine @US_FDA I’d like all the Democrats who were praising this clown in the beginning of the pandemic to… https://t.co/6Jk2XGWW9x,"Ohio, USA",1
THREAD #hydroxycholoroquine for #COVID19 👇 https://t.co/TXMRQ6NU3c,"Texas, USA",2
